trainerID,trainername,pokename
0,"A-list Actor Alonso",Smeargle
1,"A-list Actor Ricardo",Smeargle
2,"Ace Duo Elina & Sean",Wailord
2,"Ace Duo Elina & Sean",Vileplume
3,"Ace Duo Jude & Rory",Armaldo
3,"Ace Duo Jude & Rory",Cradily
4,"Ace Duo Jude & Rory",Armaldo
4,"Ace Duo Jude & Rory",Cradily
5,"Ace Duo Pike & Shiel",Carvanha
5,"Ace Duo Pike & Shiel",Numel
6,"Ace Duo Kent and Aimee",Sandslash
6,"Ace Duo Kent and Aimee",Ninetales
7,"Cooltrainer♀",Weepinbell
7,"Cooltrainer♀",Gloom
7,"Cooltrainer♀",Ivysaur
8,"Cooltrainer♂",Nidorino
8,"Cooltrainer♂",Nidoking
9,"Cooltrainer♂",Sandslash
9,"Cooltrainer♂",Dugtrio
10,"Cooltrainer♂",Rhyhorn
11,"Cooltrainer♀",Persian
11,"Cooltrainer♀",Ninetales
12,"Cooltrainer♂",Ivysaur
12,"Cooltrainer♂",Wartortle
12,"Cooltrainer♂",Charmeleon
12,"Cooltrainer♂",Charizard
13,"Cooltrainer♂",Exeggutor
13,"Cooltrainer♂",Cloyster
13,"Cooltrainer♂",Arcanine
14,"Cooltrainer♀",Parasect
14,"Cooltrainer♀",Dewgong
14,"Cooltrainer♀",Chansey
15,"Cooltrainer♂",Kingler
15,"Cooltrainer♂",Tentacruel
15,"Cooltrainer♂",Blastoise
16,"Cooltrainer♀",Bellsprout
16,"Cooltrainer♀",Weepinbell
16,"Cooltrainer♀",Victreebel
17,"Cooltrainer♂ Aaron",Ivysaur
17,"Cooltrainer♂ Aaron",Charmeleon
17,"Cooltrainer♂ Aaron",Wartortle
18,"Cooltrainer♂ Allen",Charmeleon
19,"Cooltrainer♀ Beth",Rapidash
20,"Cooltrainer♀ Beth",Rapidash
21,"Cooltrainer♀ Beth",Rapidash
22,"Cooltrainer♂ Blake",Magneton
22,"Cooltrainer♂ Blake",Quagsire
22,"Cooltrainer♂ Blake",Exeggcute
23,"Cooltrainer♂ Brian",Sandslash
24,"Cooltrainer♀ CaraC",Horsea
24,"Cooltrainer♀ CaraC",Horsea
24,"Cooltrainer♀ CaraC",Horsea
25,"Cooltrainer♀ Carol*",Electrode
25,"Cooltrainer♀ Carol*",Starmie
25,"Cooltrainer♀ Carol*",Ninetales
26,"Cooltrainer♂Cody",Horsea
26,"Cooltrainer♂Cody",Seadra
27,"Cooltrainer♀ Cybil",Butterfree
27,"Cooltrainer♀ Cybil",Bellossom
28,"Cooltrainer♂ DarinC",Dragonair
29,"Cooltrainer♀ Emma",Poliwhirl
30,"Cooltrainer♀ Fran",Seadra
31,"Cooltrainer♂ Gaven",Victreebel
31,"Cooltrainer♂ Gaven",Kingler
31,"Cooltrainer♂ Gaven",Flareon
32,"Cooltrainer♂ Gaven",Victreebel
32,"Cooltrainer♂ Gaven",Kingler
32,"Cooltrainer♂ Gaven",Flareon
33,"Cooltrainer♂ Gaven",Victreebel
33,"Cooltrainer♂ Gaven",Kingler
33,"Cooltrainer♂ Gaven",Flareon
34,"Cooltrainer♀ Gwen",Eevee
